classification,commenttext
DESIGN,xxx perhaps shouldnt use properties three options include javac directive?
DESIGN,xxx maybe use reflection addpathelement
DESIGN,todo problem constructor rbc provide rules constructors setters available
DESIGN,probably best choice solves problem relative paths classpath
DESIGN,fix invalid characters think add list
DESIGN,fallback case trouble loading class dont know handle easy way know idl mode would generate supposed make ant always recompile class file name exist
DESIGN,check also ugly
DESIGN,cant get head around encoding treatment needed here?
DESIGN,quick & dirty make nested mapped psets work
DESIGN,xxx code still necessary? port? pull zip packages directory
DESIGN,developer knows
DESIGN,xxx unfortunately jdk adds entryset values implementing requires small hack add later
DESIGN,first developer could use little help
DESIGN,xxx throw exception instead?
DESIGN,xxx throw exception instead?
DESIGN,xxx throw exception instead?
DESIGN,xxx silently catch possible exceptions try load different implementation?
DESIGN,xxx silently catch possible exceptions try load different implementation?
DESIGN,since java workaround java
DESIGN,hammer end inline maingtu
DESIGN,array really shouldnt historical purposes fixme array private package private location since could modified malicious code
DESIGN,move separate public class api add listeners etc
DESIGN,become single empty argument pr
DESIGN,nice job
DESIGN,provide public visibility
DESIGN,used public theoretically must remain bc?
DESIGN,supervalidateattributes dont want call method
DESIGN,xxx for?
DESIGN,keep something delete later tests
DESIGN,copied concattest
DESIGN,sure whether clean method declared throw exceptions
DESIGN,set prefix fileset pass need this? lh
DESIGN,nothing?
DESIGN,deal assembly!!! programmer writing little byte chunks know must assemble complete records writing review maybe tarbuffer? could help eliminate buffer copying
DESIGN,new better way use classespath instead sourcespath code currently need class files directory use jar files
DESIGN,xxx simply new file?
DESIGN,ugly checking root folder
DESIGN,todo parameterise ?? call compiler class dont want fork use classic compiler parameterised?
DESIGN,xxx get package according weblogic standards written better hacky! careful similar code scandir slightly different!!
DESIGN,stolen writemanifest
DESIGN,jarfile already exists whack recreate probably think elegant way handle case errors dont leave people worse started
DESIGN,xxx following really necessary? thread group
DESIGN,find cleaner way put output
DESIGN,old way deprecated classespath right way
DESIGN,script example modifies ided tasks targets work ugly reference replaced runtimeconfigurable
DESIGN,dont call superclose reader used places
DESIGN,report error something weird happensthis diagnostic
DESIGN,sorry otherwise get classcastexception mockcache loaded two different classloader
DESIGN,hack ask vm create instance voluntarily providing illegal arguments force vm run class static initializer time running valid constructor
DESIGN,singleton may change
DESIGN,xxx shouldnt always return false isolated mode?
REQUIREMENT,delete file valid file
REQUIREMENT,todo comment field doesnt include options yet
REQUIREMENT,delete file valid file
REQUIREMENT,method checks timestamp file listed ejbfiles compares timestamp jarfile jarfiles timestamp recent ejb file true returned otherwise false returned todo find way check manifestfile found naming convention ejbfiles hashtable ejb classes files added completed jar file jarfile jar file contain ejb classes files boolean indicating whether jarfile date
REQUIREMENT,think lazy initialization jhm
REQUIREMENT,todo comment field doesnt include options yet
REQUIREMENT,todo methods yet getclassname todo method newinstance using reverseclassloader
REQUIREMENT,displayname variable stores value displayname element standard ejb descriptor future enhancement task may determine name ejb jar file using displayname implemented yet
REQUIREMENT,output stream compresses bzip format another stream compression requires large amounts memory thus call method soon possible force cbzipoutputstream release allocated memory shrink amount allocated memory maybe raise compression speed choosing lower blocksize turn may cause lower compression ratio avoid unnecessary memory allocation avoiding using blocksize bigger size input compute memory usage compressing following formula get memory required decompression use memory usage blocksize blocksize compressionmemory usage decompressionmemory usage decompression cbzipinputstream allocates less memory bzipped input smaller one block instances class threadsafe todo update bzip
REQUIREMENT,xxx log error? throw exception?
REQUIREMENT,todo allow user request system parent
REQUIREMENT,text add fragment seems like current version could stick empty strings list
REQUIREMENT,xxx add exceptions
OTHERS,duplicating testresult information time part result wed better derive new class testresult deal
OTHERS,sure whether test needed cost nothing put hope reviewed anybody competent
OTHERS,testcases task xxx merge ?
OTHERS,doesnt work depending compression engine used
OTHERS,wrong test remote os openvms doesnt seem way detect
OTHERS,process doesnt die properly combination thus test fails workaround?
OTHERS,junit test
OTHERS,property ids thing either property path need make sure object created given id dont adequate way testing actual value path object though
OTHERS,oh test case gone?
OTHERS,attribute names values xml spec doesnt require preserving order ant tests rely exact order following code copied attributeimpl could also use sax attributes convert sax xxx jdk use linkedhashmap purpose jglick exception order treatment refid number datatypes check refid set attributes set check work build script attribute refid attribute refid attribute processed first
REQUIREMENT,dont try restoring url todo wy not?
REQUIREMENT,todo clone return value? reference shouldnt need separate copy
REQUIREMENT,fix bug jvms return truefalse rather truefalse type editor getastext method
REQUIREMENT,also fail sample? happen incorrect xpath expression
REQUIREMENT,todo null property value?
REQUIREMENT,int contentlength httpmethodgetresponsecontentlengthnot visible todo size ouststream according actual content length
REQUIREMENT,would sensible work
REQUIREMENT,fixme due startengine commented engine always null
REQUIREMENT,note lines center dialog may make behave properly
REQUIREMENT,todo null?
REQUIREMENT,todo display warning dialog take time
REQUIREMENT,todo may work oses?
REQUIREMENT,todo error counting needs sorted present statistical sampler tracks errors separately would make sense move error count would mean lots changes also tricky maintaining count cant incrementeddecremented success flag set may done multiple times workround work statisticalsampleresult overrides method note jms samplers also create samples sample count also transaction controller probably needs changed proper sample error accounting purpose workround allow least minimal support errors remote statistical batch mode
REQUIREMENT,todo doesnt putting mark tree saved even though failure may occur later?
REQUIREMENT,todo fix called per test instead every clone perhaps save previous filename load changed?
REQUIREMENT,bug method
REQUIREMENT,todo call test listeners? might hang nonnls default true
REQUIREMENT,fixme factor httphcimpl httphcimpl append parameter values use post body
REQUIREMENT,sslmanager handles keystore information jmeter basically handles logic loading initializing jsse parameters selecting alias authenticate available sslmanager try automatically select client certificate cant make decision pop open dialog asking information todo actually prompt
REQUIREMENT,urgent todo sort equals hashcode
REQUIREMENT,means new page shown rendering complete however correct location displayed attempts use page propertychangelistener detect page loaded failed work better
REQUIREMENT,todo removes nodes checkdirty map done later case cant removed?
DESIGN,todo turn parameter?
DESIGN,todo call super?
DESIGN,todo improve
DESIGN,todo contenttype andor dataencoding belong httpsampleresult instead?
DESIGN,todo needs work
DESIGN,maybe move vector mt problems occur
DESIGN,todo method doesnt appear used
DESIGN,todo really necessary?
DESIGN,programming error bail
DESIGN,todo throw error?
DESIGN,programming error bail
DESIGN,houston problem !!
DESIGN,todo replace proper exception
DESIGN,todo charset? todo really request data none
DESIGN,milliseconds todo properties?
DESIGN,todo move jorphanutils?
DESIGN,nb needs implement visualizer testbeangui find correct gui class
DESIGN,null
DESIGN,todo implement nontext types
DESIGN,todo populated currently
DESIGN,nb needs implement visualizer testbeangui find correct gui class todo remove unsharedcomponent ? probably make sense testbean
DESIGN,nonnls todo use different format here?
DESIGN,notused long longsample getsamples load node
DESIGN,lead code smell meh! care
DESIGN,todo ever used?
DESIGN,todo best way this?
DESIGN,programming error bail
DESIGN,maybe move vector mt problems occur
DESIGN,keys messagesproperties lowercase
DESIGN,used protected double data null
DESIGN,programming error bail
DESIGN,programming error bail
DESIGN,todo efficiently
DESIGN,todo use setfirst ?
DESIGN,programming error bail
DESIGN,dom tree panel display response tree view author dave maung todo implement find nodes tree using treepath
DESIGN,todo method need public? isnt currently called outside class
DESIGN,system support unc paths? may need fix later
DESIGN,used
DESIGN,todo indeterminate? todo indeterminate? nonnls nonnls
DESIGN,hack skip processing
DESIGN,todo allow null nonprimitive types?
DESIGN,todo sure best method
DESIGN,todo needed?
DESIGN,todo call start?
DESIGN,used
DESIGN,todo believe following code obsolete since namepanel longer seems gui component
DESIGN,method broken anyway
DESIGN,todo sensible number? nonnls
DESIGN,todo work search xml pane
DESIGN,todo sensible?
DESIGN,return fragment text rather text fragment?
DESIGN,clear cause ? conflicting versions perhaps
DESIGN,todo replace proper exception return error
DESIGN,todo validate contenttype reasonable types?
DESIGN,mask values test_type todo remove either match contains mutually exckusive
DESIGN,todo ought filechooser
DESIGN,allow jmeter render frames must done setcontenttype why?
DESIGN,todo used?
DESIGN,todo cleardata?
DESIGN,provide description timer class todo ever used? cant remember remove isnt todo obtain text beans displayname shortdescription description timer class
DESIGN,provide dummy implementations suppress download display related resources frames images todo create better dummy displays todo suppress link somehow
DESIGN,todo jtlsaver? seems called monitorhealthvisualzer
DESIGN,todo make running indicator class instead jbutton
DESIGN,child transactioncontroller throughputcontroller tpc sample children todo warn level ?
DESIGN,nonnls function nonnls nonnls nonnls nonnls
DESIGN,hack allow automated tests find test ended
DESIGN,todo could done earlier
DESIGN,hack resolve modulecontrollers non gui mode
DESIGN,add system property samplers check see jmeter running nongui mode nonnls todo create new instance?
DESIGN,run beanshell script startup? nonnls
DESIGN,little hack add listener start list ensures thread running show first listener modify certain values listeners called
DESIGN,todo move components reason core used guinea pig couple tests
DESIGN,todo bit code needs tidied unfortunately modulecontroller components core bug
DESIGN,todo class looks lot like argumentspanel exactly difference? could combined? note seems class actually used
DESIGN,todo appear used
DESIGN,ensure sample variables correctly initialised run todo best way this? done elsewhere ?
DESIGN,add fix deadlocks see see httpsissuesapacheorgbugzillashow_bugcgi?id
DESIGN,hack allow external control
DESIGN,todo use space?
DESIGN,todo also clear isdynamic rawparameters permanentresults?
DESIGN,todo level debug ?
DESIGN,todo level debug ?
DESIGN,effectively savertoxml except get provide dataholder dont know method xstream class
DESIGN,todo fix nimbus laf
DESIGN,fixme searchtf getting focus correctly setvisible
DESIGN,todo appear used
DESIGN,menubar related methods todo really need menubar methods duplicated here? perhaps make menu bar accessible guipackage?
DESIGN,hack get full modifier value
DESIGN,todo method doesnt appear used
DESIGN,todo use space?
DESIGN,todo consider removing method providing method wrappers instead would allow gui package additional clearups required done cleartestplan
DESIGN,maybe nothing all?
DESIGN,notused private void initbuttonmap
DESIGN,todo believe following code obsolete since namepanel longer seems gui component
DESIGN,avoid error ant task tests
DESIGN,appear used called mainframeseteditaddmenu called
DESIGN,aggregates sample results use statistical remote batch mode samples aggregated key defined getkey todo merge error count parent class?
DESIGN,todo errors thrown back rmi?
DESIGN,jmetertreenode testbeangui special gui classes arent intended added menus todo find better way checking
DESIGN,used
DESIGN,used
DESIGN,used
DESIGN,used
DESIGN,todo perhaps save items headers?
DESIGN,todo class implement samplelistener?
DESIGN,settings readresolve sets serverclient values appropriate sure volatile needed changed creation
DESIGN,samples aggregated thread name thread group ?
DESIGN,make easier enter tab
DESIGN,used
DESIGN,todo turn method?
DESIGN,appear used
DESIGN,todo perhaps use concurrenthashmap ?
DESIGN,samples aggregated thread name thread group ?
DESIGN,todo clazz probably always testclass
DESIGN,todo restored?
DESIGN,todo provide proper name?
DESIGN,todo matter empty line terminate loop? csv output files never contain empty lines probably need check whether reader eof
DESIGN,todo convert work like upgradepropertiesnameupdaterjava special processing carried header class string property testelementname converted headername example mozillafcompatiblebmsiebwindows useragent becomes mozillafcompatiblebmsiebwindows useragent
DESIGN,must set readingwriting xml rather hack saves changing method calls include extra variable afaik variables accessed one thread need synchronize
DESIGN,todo restored?
DESIGN,todo used make private?
DESIGN,todo appears duplicate threadname field sampleresult
DESIGN,yuck tiffimageencoder uses error report runtime problems
DESIGN,check case
DESIGN,todo right thing do?
DESIGN,used
DESIGN,resultssetresponsecode todo code set here?
DESIGN,todo implement supportscustomeditor ?
DESIGN,check case
DESIGN,used element generated resultcollector class
DESIGN,check string valid jmeter expression current implementation basic accepts string containing
DESIGN,todo use remove
DESIGN,guess happen result bad file read? case would better replace incorrect value anything valid eg default value property time prefer aware problems occuring likely programming errors ill bail cant bail newly create elements blank values must get defaults also loading previous versions jmeter test scripts values may right get default values ms todo review possibly change
DESIGN,todo work yet need determine sample type
DESIGN,programming error bail
DESIGN,temporary fix allow default protocol changed
DESIGN,todo consider using private logs derived class
DESIGN,appear used yet
DESIGN,remember change class changes
DESIGN,todo temporary hack avoid unnecessary bug reports subclasses
DESIGN,todo yet another ambiguous name need changing? see also clearable jmeterguicomponent
DESIGN,todo silent exception intended
DESIGN,remember change class changes
DESIGN,following variables set standardjmeterengine done start called values published thread safely todo consider passing constructor made final avoid adding lots parameters perhaps parameter wrapper object
DESIGN,todo set thread names subsamples? might efficient fetching name elsewehere
DESIGN,setting samplingstarted contollers initialised allows access running values functions variables
DESIGN,todo remove useless entry parameter
DESIGN,todo fix real implementation
DESIGN,todo clear relevant entry possible
DESIGN,surely always null constructor?
DESIGN,todo use super class value?
DESIGN,todo appear called directly
DESIGN,custom trustmanager ignores certificate errors todo implement conditional checking logging
DESIGN,maps contain page form encodings todo really need shared proxy instances?
DESIGN,note source line arguments nonsense call way make arguments sensible?
DESIGN,exception wrapped javascriptexception?
DESIGN,todo empty block ?
DESIGN,todo perhaps fatal error?
DESIGN,clone produce correct type todo need clone list?
DESIGN,todo called userparameterxmlparsergetxmlparameters deprecated class
DESIGN,todo probably needed
DESIGN,todo move jorphanutils?
DESIGN,todo needs synch? probably changed threads started jmeter home directory jmeter bin directory
DESIGN,hack bshbjar bshscriptengine implements compilable throws javalangerror unimplemented
DESIGN,todo clear relevant entry possible
DESIGN,todo for?
DESIGN,todo equals hashcode depend field count?
DESIGN,todo sync really needed?
DESIGN,todo correct?
DESIGN,todo cpercent cmedian why? pass distributionline?
DESIGN,todo equals hashcode depend field count?
DESIGN,todo method need public? isnt currently called outside class
DESIGN,todo method signature method changed match superimplementation ? would require instanceof check adding listener would also make behavior bit obvious subclasses java rules dealing situation arent always intuitive subclass may think calling version method really calling superclass version instead
DESIGN,todo method synchronized ? function execute
DESIGN,todo engine static?
DESIGN,nb commons io ioutils equivalent methods added io included todo perhaps deprecate favour commons io?
DESIGN,todo getmin?
DESIGN,fix bug argarg causing parse error however define argarg ok seems parser skips terminator long options short options
DESIGN,todo improve error handling
DESIGN,todo improve error handling
DESIGN,add logtargets root logger fixme whats clean way add logtarget afterwards ? logtargets logtarget array
DESIGN,hack reduce need load every class nongui mode needs functions todo perhaps use bcel scan class files instead? class name contain string class name contain string
DESIGN,todo exact ordering required tests change comparison set compare necessary
DESIGN,todo field always true ?
DESIGN,todo improve check
DESIGN,todo could return?
DESIGN,todo field always true ?
DESIGN,wrong
DESIGN,remember change class changes
DESIGN,todo failure?
DESIGN,wrapper convert junit class testcase todo work convert junit assertions treated failures rather errors
DESIGN,method broken anyway
DESIGN,todo really return specific match
DESIGN,todo done embedded usage? note element configtestelement used standalone cannot use ftpsampler access methods
DESIGN,todo replace url mess proper method areequivalent would also ignore case protocol host names etc use method cookiemanager
DESIGN,todo possible?
DESIGN,holder storing cache details perhaps add original response later?
DESIGN,todo used gui
DESIGN,currently used
DESIGN,todo correct url?
DESIGN,note handling simple vs doublequotes could formally accurate cant imagine session id containing either ok whole set expressions quick hack anyway cares
DESIGN,todo fix real implementation
DESIGN,todo improve string version better match browser behaviour? eg browsers regard httphost httphost same? would better reflect string
DESIGN,code also allows lf
DESIGN,hack skip processing
DESIGN,todo find way avoid cost creating string probably new patternmatcherinput working byte would better
DESIGN,todo setbaseforscript called rather above?
DESIGN,java _ longer allows contentlength set dont check see httpbugssuncombugdatabaseview_bugdo?bug_id todo point checking headers?
DESIGN,sampleevent passed jmetervariables dont make sense proxy recording todo correct threadgroup name?
DESIGN,todo needs cleaning
DESIGN,nonnls todo variable?
DESIGN,hack skip processing
DESIGN,todo replace repeated substr efficient method
DESIGN,todo perhaps make specific this? point parsing anything else eg gif
DESIGN,wont work writeerrortoclient generate result populate hack skip processing
DESIGN,todo done client created? details need added part httpclientkey
DESIGN,hack
DESIGN,may replaced later
DESIGN,todo hack removed later
DESIGN,could drop sync here?
DESIGN,todo lfonly eol allowed?
DESIGN,dircontext dc todo perhaps return this?
DESIGN,nonnls todo change use url version? affect test plans?
DESIGN,todo specify collection type without breaking callers
DESIGN,todo eever happen?
DESIGN,form parameter always textplain mime type todo make parameter?
DESIGN,nonnls todo obtained file somehow?
DESIGN,appear used
DESIGN,notused guipackage guipack
DESIGN,allow serializable test work todo serializable test necessary jmetertreenode longer gui component?
DESIGN,todo null correct?
DESIGN,todo handle thread stopped
DESIGN,slight hack need ensure testclass reset previous call
DESIGN,todo called basedir null?
DESIGN,may replaced later
DESIGN,todo could converted generic class?
DESIGN,todo appear used
DESIGN,todo used?
DESIGN,todo make static?
DESIGN,hack allow entire url provided host field
DESIGN,todo ok ? check arguments one argument value equal post body
DESIGN,todo downcase upper case nonfinal variables
DESIGN,todo belongs elsewhere
DESIGN,todo happen?
DESIGN,todo needed currently done sample completion jmeterthread catches toplevel samples
DESIGN,todo bit fragile
DESIGN,todo correct? first file cant write header simplicity always save even one file
DESIGN,remember change class changes
DESIGN,todo return something else?
DESIGN,dont allow override contentlength helps soapsampler hack todo headers allowed?
DESIGN,nonnls todo variable?
DESIGN,todo correct default?
DESIGN,may replaced later
DESIGN,todo need add charset file contents? nonnls
DESIGN,todo merge put post methods far possible eg post checks multipart formfiles invokes senddata
DESIGN,get content length tells us much data read todo maybe support chunked encoding cannot rely content length
DESIGN,todo correct default?
DESIGN,todo correct default?
DESIGN,todo allow mimetype only?
DESIGN,todo fields public? dont appear used externally also different httpconstantsget etc ? cases seem used method name tomcat log however rmethod field used value httpsamplerbasemethod httpconstants approriate
DESIGN,notused orgapachejmetermonitormodelstatus st todo charset?
DESIGN,remember change class changes
DESIGN,todo find retrieve script present script use sampleresult methods set nonnls nonnls
DESIGN,todo process warnings? set code message success?
DESIGN,todo encoding configurable? nonnls
DESIGN,nonnls todo probably wrong
DESIGN,todo method reference really useful ?
DESIGN,todo method reference really useful ?
DESIGN,maybe consider creating global cache random files make jmeter efficient
DESIGN,maybe consider creating global cache random files make jmeter efficient
DESIGN,jmetertreenode testbeangui special gui classes arent intended added menus todo find better way checking
DESIGN,menubar related methods todo really need menubar methods duplicated here? perhaps make menu bar accessible guipackage?
DESIGN,use javanamingsecurityprincipalcredentials create queueconnection?
DESIGN,todo set different status enough messages found?
DESIGN,todo fix real implementation
DESIGN,allow serializable test work todo serializable test necessary jmetertreenode longer gui component?
DESIGN,fixme broken code
DESIGN,notused private string chosenfile
DESIGN,find beans check resource property files check nondefault property files dont extra keys check necessary properties defined least default property file except beans whose name contains experimental alpha todo check property files dont duplicate keys
DESIGN,could perhaps variable name
DESIGN,resultssetresponsecode todo code set here?
DESIGN,add _ separator?
DESIGN,todo skip processing here?
DESIGN,todo add real tests split removed
DESIGN,used transient protected threadgroup threadgroup null anyway supposed class javalang jmeterthreads?
DESIGN,others could private too?
DESIGN,todo ever happen?
DESIGN,todo fetch list languages file? nb changes language list need reflected resourcespackagetestjava
DESIGN,todo move utils class
DESIGN,todo need implement kind connection pooling? connections shared? threads share connections destination? crossthread sharing?
DESIGN,todo ought filechooser
DESIGN,
DESIGN,todo assumes redirected response always immediately follow original response may always true better way this?
DESIGN,todo best way ? httpsissuesapacheorgbugzillashow_bugcgi?id
DESIGN,keep unexpanded path todo allow directories end jar removing check?
DESIGN,todo works current situation hack get editor report whether wants grow bigger? whether property label left top editor? ?
DESIGN,hack save package transaction controllers
DESIGN,many classes assign from? todo must nicer way
DESIGN,testbean hidden?
DESIGN,todo lower case? ok use default locale?
DESIGN,hack make userdefined variables testplan element dynamic
DESIGN,hack force controller load tree
DESIGN,might useful also make available request tab posting json
DESIGN,header saved data? nonnls
DESIGN,header saved data? nonnls
DESIGN,showing large strings costly avoid response data larger todo instead could delay resultsettext call user chooses response data tab plus could warn user happens revert choice doesnt confirm hes ready wait
DESIGN,nb needs implement visualizer testbeangui find correct gui class
DESIGN,todo strings resources
DESIGN,resultseterror allow assertion pass
DESIGN,call guiinstancecleartestplan ? reason clearing everything?
DESIGN,used
DESIGN,todo move jorphanutils?
DESIGN,notused yet private jtextfield filename
DESIGN,maybe move vector mt problems occur
DESIGN,todo call super?
OTHERS,todo document reason
OTHERS,todo cant see anything spec
OTHERS,todo cant see anything spec
REQUIREMENT,todo somehow show progress
REQUIREMENT,todo support multiple signers
REQUIREMENT,todo fetch per vars above?
REQUIREMENT,todo add delete currently supported nonnls
REQUIREMENT,fix path allow use unc urls
REQUIREMENT,todo use setdone??
REQUIREMENT,set overall status transaction sample todo improve eg adding counts sampleresult class
REQUIREMENT,exit end test?
REQUIREMENT,reached reporting boundary? need allow margin error otherwise miss slot also need check weve hit window already
REQUIREMENT,todo save hostname save sample type
REQUIREMENT,allow mimetype file control content type obvious gui uploading files sending content nameless parameters todo needs multiple file upload scenerio
REQUIREMENT,remind convert arg list vectors here?
REQUIREMENT,chunked transfer encoding really support yet read without blocking know stop reading cannot block todo propery implement support chunked transfer ie know read whole request therefore allow reading block
REQUIREMENT,allow mimetype file control content type obvious gui uploading files sending content nameless parameters todo needs multiple file upload scenerio
REQUIREMENT,allow mimetype file control content type obvious gui uploading files sending content nameless parameters todo needs multiple file upload scenerio
REQUIREMENT,allow mimetype file control content type obvious gui uploading files sending content nameless parameters todo needs multiple file upload scenerio
REQUIREMENT,todo handle filenames
REQUIREMENT,yet handled
REQUIREMENT,todo check error logged
REQUIREMENT,dont allow override contentlength todo headers allowed?
REQUIREMENT,todo ? perhaps note connection disconnected end test?
OTHERS,todo enable proper tests!!
OTHERS,todo make separate tests?
OTHERS,todo need lot tests
OTHERS,todo need lot tests
OTHERS,todo add tests savegraphics
OTHERS,todo improve test nonnls nonnls missing variable name
OTHERS,todo add tests reportsavegraphics
OTHERS,todo done even full test plan? load fails?
OTHERS,todo assertions separate tests
OTHERS,todo need tests
OTHERS,todo invalid sequence tests needed
OTHERS,todo add tests check name clash long option abbreviations
REQUIREMENT,todo brute force approach updating listeners every event without checking event type information going cause lots invalidelementexceptions subclasses implementations updatelisteners
REQUIREMENT,todo statement also refreshes shown hence entirely correct
REQUIREMENT,class display graphics uml synchstate diagram todo font increases circle grow pepargouml
REQUIREMENT,todo ordered list add right location!
REQUIREMENT,rank nodes depending level set weight achieve proper nodesequence layout rows exceeding maximum row width split standalone nodes available weight nodes determine columns todo weighting doesnt appear working intended multiple groups childrenspecializations get intermixed name order rather grouped parentgeneralization tfm
REQUIREMENT,todo tagged value name never trigger event
REQUIREMENT,tests copyhelper without using stereotypes test using tree objects model class_ nestedpackage interface_ attribute todo test doesnt match mdr implementation expects contents namespace copied disabled fixed run mdr euml tfm bogdan
REQUIREMENT,todo correctly implement next function model subsystem issue
REQUIREMENT,todo code implementing method mechanically integrated tfmorris may needs reviewedupdated deckiendiyayan politechnic bandung computer departement method changing text message
REQUIREMENT,todo next part work?
REQUIREMENT,todo dont really want filled
REQUIREMENT,todo cant global current language
REQUIREMENT,todo warn user removed something tfm
REQUIREMENT,visible likely deleted todo indicates fundamental problem investigated tfm
REQUIREMENT,fixme following throws
REQUIREMENT,todo gef needs pass us back description done
REQUIREMENT,make stretch vertically todo curbody must notify modification
REQUIREMENT,todo next line safe? happens one comment edge comment edge single message?
REQUIREMENT,todo considering delete events valid like going cause lots unecessary work problems
REQUIREMENT,else coordinate outside classifier role fix max classifier role fixme increase height classifier role dont???
REQUIREMENT,todo appears expect uml tag name appear property name event uml switch tagdefinitions wont work
REQUIREMENT,todo uml
REQUIREMENT,todo removed uml nonnls
REQUIREMENT,todo occurrence isconcurrent uml index page indexed
REQUIREMENT,todo works degree angles suboptimal angles reflect angle rather using negative offset along vector
REQUIREMENT,todo map uml names umlx names nonnls nonnls
REQUIREMENT,todo except wont work names different
REQUIREMENT,doesnt work uml owner property needed!
REQUIREMENT,fixme fails
REQUIREMENT,todo looks backwards left issue ?
REQUIREMENT,todo doesnt work
REQUIREMENT,todo issue proposed allow paclage return potential namespace commenting reviewed clearly accepted
REQUIREMENT,todo something might go wrong processing dont really want create model element user releases mouse place expected
REQUIREMENT,strange linkgetconnection hence linkend added end instead
REQUIREMENT,todo synchronized required concurrent modification problems drawing call message automatically draw reply maybe fixing todo resolve synch go
REQUIREMENT,next lines case current namespace valid one course happen see project attached issue
REQUIREMENT,todo umlx event parameters todo treat objectflowstate classifier
REQUIREMENT,todo ordered list add right location!
REQUIREMENT,appears gone uml
REQUIREMENT,todo work event arrives
REQUIREMENT,todo checking immediate siblings needs checking imported elements parents also taking account visibility
REQUIREMENT,work since never figtext
REQUIREMENT,utility function localize given string help text show status bar argouml window function used favour inline call enable later improvements eg would possible show helpballoon todo work one matter possibly improve show multiple lines given string localized shown
REQUIREMENT,todo monitor getting dismissed layout complete
REQUIREMENT,todo currently dont support perfig settings stuff
REQUIREMENT,todo yet working uml
REQUIREMENT,triggers warnings elements created without owner todo fix warning log would looks like warn awteventqueue encountered deleted object delete
REQUIREMENT,todo shouldnt throw exception here?!?!
